121073,Van Sluisveld Beheer B.V.,Industrieweg,4,5256PN,HEUSDEN,NL
121074,Kees Vermeer,IJsseldijk-Noord,50B,2935BH,OUDERKERK AAN DEN IJSSEL,NL
121075,Altrex BV,Mindenstraat,7,8028PK,ZWOLLE,NL
121076,Van der Peijl Groep,Lelyweg,15,4612PS,BERGEN OP ZOOM,NL
121077,Raamselect,Merkplassersteenweg,18,B-2310,RIJKEVORSEL,BE
121078,Multiform Plastics,Postbus,349,7200AH,ZUTPHEN,NL
121079,Destil BV,Postbus,5030,5004EA,TILBURG,NL
12108,Drijver Bouw BV,Schilderend,102,1791 BK,DEN BURG,NL
121080,Horn Maschinenbau GmbH,Industriestraße,42a,D 46240,BOTTROP,DE
121081,XXX-Kozijnwereld BV,Raamstraat,2b,5831AT,BOXMEER,NL
121082,Crea Plan  NV,Karreweg,17,B-9810,NAZARETH,BE
121083,Ruflo BV,Dukaat,10A,5751PW,DEURNE,NL
121084,SCM Group Nederland BV,Postbus,24,1520AA,WORMERVEER,NL
121085,Reynaers Nederland BV,Postbus,111,5700AC,HELMOND,NL
121086,XXX-Alltec,Postbus,26,1560AA,KROMMENIE,NL
121087,Elumatec France SAS,2 Route de Soufflenheim,,F-67660,BETSCHDORF,FR
121088,Meekel Cases,Arnesteinweg,31,4338PD,MIDDELBURG,NL
121089,XXX-Salco,Ambachtstraat,5,2390,MALLE,BE
12109,Dutec BV,Ruwekampweg,6,5222 AT,'S-HERTOGENBOSCH,NL
121090,XXX- Gooren Lichtreclame BV,Postbus,105,5680AC,BEST,NL
121091,Alprokon Aluminium Development BV,Bremen,1,2993LJ,BARENDRECHT,NL
121092,Action Tools System,Fruithoflaan,25,B-2960,ST LENAARTS/BRECHT,BE
121093,Aluvision NV,Evolis,80,B-8500,KORTRIJK,BE
121094,Simal BV,Almereweg,39,1671ND,MEDEMBLIK,NL
121095,XXX-Elku Window Products,Binnenhof,25,1861JW,BERGEN (NH),NL
121096,Elandt Brandt Ramen en Deuren B.V,Postbus,37607,1030 H,AMSTERDAM,NL
121097,XXAluminium Solutions International B.V.,Schoolstraat,11,5151HH,DRUNEN,NL
121098,Ophardt Belgie,Driebekenweg,3,B-3680,MAASEIK,BE
121099,Alrema BV,Postbus,123,5050AC,GOIRLE,NL
12110,Op den Velde BV,Kleine Tocht,1,1507CB,ZAANDAM,NL
121100,XXX-Constral Serres en Kozijnen,Energieweg,2,6915SB,LOBITH,NL
1211000,Claerhout Aluminium N.V.,Blokkestraat,2,B-8530,HARELBEKE,BE
1211001,Proflease B.V.,Maurick,1,5261NA,VUGHT,NL
1211002,Alu-Pack BV,John Lijsenstraat,49,B-2321,MEER ( HOOGSTRATEN),BE
1211003,Dutchcreen BV,Rucphensebaan,25,4706PH,ROOSENDAAL,NL
1211004,Harmolux,Terlindestraat,12,B-1790,AFFLIGEM,BE
1211005,Intal Producties Zuid BV,Venrayseweg,141,5961NS,HORST,NL
1211006,XXX-CoMaCor BV,Pater Pellensstraat,47,B-3910,NEERPELT,BE
1211007,Ventiguard BV,Leehove,35,2678MA,DE LIER,NL
1211008,ASE Europe NV,De Keyserlei,58,B-2018,ANTWERPEN,BE
1211009,Meteor Systems BV,Minervum,7081,4817ZK,BREDA,NL
121101,Embrechts Bouwbedrijf,Bosscheweg,91A,5056KB,BERKEL-ENSCHOT,NL
1211010,B&M Projects BV,Kieleberg,28,B-3740,BILZEN,BE
1211011,Vario Kozijnen,Koningsspil,34A,4661TW,HALSTEREN,NL
1211012,TNC NV,Avenue Landas,1,B-1480,TUBIZE,BE
1211013,Hasmetal Glass & Metal Facade Systems,Chaussée Gabrielle Richet,208,B-7860,LESSINES,BE
1211014,Stef Van Delft Kaatsheuvel BV,Verzetstraat,6,5171PT,KAATSHEUVEL,NL
1211015,Icomet DV sa,Rue Verte Reine,17,B-7600,PÉRUWELZ,BE
1211016,EKN Machines,Van der Kunstraat,3A,4251LN,WERKENDAM,NL
1211017,Hora BV,Hamersveldseweg,137,3833GN,LEUSDEN,NL
1211018,De Zoon BV,Julianastraat,72,2751GB,MOERKAPELLE,NL
1211019,Alrako BV,Nijverheidswei,6,9271GM,De Westereen,NL
121102,Alinco NV,Pachtgoedstraat,4,B-9140,TEMSE,BE
1211020,Demasure Systems NV,Zonnestraat,7,B-8573,ANZEGEM,BE
1211021,CI. Belgium,Parc Industriel,31,B-1440,BRAINE-LE-CHATEAU,BE
1211022,CAMAC Sprl,Rue Hauzeur,10,B-4031,ANGLEUR,BE
1211023,XXX-Verbalu NV,Knotwilgen Weg,29,B-2220,Heist op den Berg,BE
1211024,Plexi-Art,Graftermeerstraat,59A,2131AB,HOOFDDORP,NL
1211025,Verhulst Dynami BV,Aernoud Porreyestraat,13,B-8908,VLAMERTINGE,BE
1211026,Sorba Holding BV,Leeghwaterweg,2,7102JJ,WINTERSWIJK,NL
1211027,THBS Almelo,Bedrijvenpark Twente,290,7602KK,ALMELO,NL
1211028,Suijkerbuijk Kozijnen,Verlengde Duinstraat,47,4631HP,HOOGERHEIDE,NL
1211029,Diapal NV,Bekedijkstraat,1,B-8490,JABBEKE,BE
121103,Pinchetti en Van Caem,Noordenweg,14-16,2984AG,RIDDERKERK,NL
1211030,SPRL Antoine Construct,Avenue Jean Mermoz,29P,B-6041,Avenue Jean Mermoz,BE
1211031,Koeriersdeur,Kattebos,92,8446CX,HEERENVEEN,NL
1211032,Van der Peet Nieuwbouw en Onderhoud BV,Transportweg,64,2421LS,NIEUWKOOP,NL
1211033,Venker Werkzeugmaschinen GmbH,Anemonenweg,8,D-33335,GUTERSLOH,DE
1211034,Activum Rental BV,Hogehilweg,19,1101CB,AMSTERDAM ZUIDOOST,NL
1211035,Gardival,Bruggesteenweg,245,B-8830,GITS -HOOGLEDE,BE
1211036,Indulite,Energieweg,19A,6658AE,BENEDEN LEEUWEN,NL
1211037,MCB Direct BV,Edisonstraat,12,7601PS,ALMELO,NL
1211038,Vlado 2B NV,Oostmolen Zuid,4-6,B-9880,Aalter,BE
1211039,The CF & C Company V.O.F.,Goorweg,2A,5752PR,DEURNE,NL
121104,Nexum Interieurprodukten,Kerkstraat,296,1017HB,AMSTERDAM,NL
1211040,MRW Belgium BV,Peerderbaan,85,B-3990,PEER,BE
1211041,Vandenberghe P&S,Industriepark,17,B-8730,Beernem,BE
1211042,DHOLLANDIA NV,Zoomstraat,9,B-9160,LOKEREN,BE
1211043,Dewilde en Zonen BV,Werkenstraat,81,B-8610,HANDZAME KORTEMARK,BE
1211044,Group Ceyssens,MIjnwerkerslaan,35,B-3550,HEUSDEN-ZOLDER,BE
1211045,Ramage S.A.,Chaussée Gabrielle Richet,208,B-7860,LESSINES,BE
1211046,ESD Systeemwanden BV,Industrieweg,20,3133EE,VLAARDINGEN,NL
1211047,Chris Heemskerk,Dorpsstraat,193,2421AZ,NIEUWKOOP,NL
1211048,AL Windows BV,Mijnwerkerslaan,35,B-3550,HEUSDEN-ZOLDER,BE
1211049,Alcomij Beheer BV,Hagemanstraat,66,2691WR,'S-GRAVENZANDE,NL
121105,Johan D'Haene,Lodewijk Dosfelstraat,9,B-8870,Izegem,BE
1211050,Verhegge Jan Metaalconstructie bvba,Tombrugstraat,19,B-8850,ARDOOIE,BE
1211051,Alunique Geveltechniek,De Steeg,12,6333AP,SCHIMMERT,NL
1211052,Dannenberg Machinebouw BV,Spoelerstraat,17,7461TX,RIJSSEN,NL
1211053,CS Raamconstructies NV,Beyntel,3A,B-2360,Oud Turnhout,BE
1211054,TripleAir Technology BV,Columbusstraat,30,7825VR,EMMEN,NL
1211055,Alu Vermeiren Ramen en Deuren,Essenweg,27,B-2280,GROBBENDONK,BE
1211056,C. Geraerts handelsonderneming en Kassen,Sluisstraat,63B,5712BE,SOMEREN,NL
1211057,Mondana Nederland BV,Leeuwenhoeckweg,6,5466AL,VEGHEL,NL
1211058,Imbo BV,Nikkelstraat,6B,2984AM,RIDDERKERK,NL
121106,Drijkoningen NV,Klein Rootstraat,3,B-3680,NEEROETEREN,BE
1211060,Stalen Ramenfabriek Van Iersel BV,Nieuwe Bredase Baan,6,4825BP,BREDA,NL
1211061,Schiffeleers,Aardbruggenstraat,91,B-3570,ALKEN,BE
1211062,HGP BV,Voltstraat,8,2441LS,NIEUWVEEN,NL
1211063,XXX-Lootens Evolis,Evolis,109,B-8530,HARELBEKE,BE
1211064,VBL Kozijnen,De Ren,54B,6562JK,GROESBEEK,NL
1211065,Alinel NV,Kunstdal,19A,B-9900,EEKLO,BE
1211066,Binome Menuiserie Bois et Alu,Parc Ind. des Hauts Sarts 2e av,19B,B-4040,HERTSTAL,BE
1211067,Exterus BV,Kachtemsestraat,190,B-8800,ROESELARE,BE
1211068,CmConcept,"Rue du grand péril, 108 B17",B19,B-7090,HENNUYERES,BE
1211069,Van den Bongaardt Aluminium BV,Handelsweg,13C,5492NL,SINT OEDENRODE,NL
121107,Stürtz Maschinenbau GmbH,Linzerstrasse,24,D-53577,Neustadt/Wied Rott,DE
1211070,NKM BV,Enterseweg,15,7471SB,GOOR,NL
1211071,KVK Tech Sprl,Avenue Franklin,4,B-1300,WAVRE,BE
1211072,Alcre Best BV,Bedrijfsweg,8,5683CP,BEST,NL
1211073,Struktglas,Beitelstraat,9,7556ND,HENGELO,NL
1211074,Mapeco Vilvoorde NV,Mechelsesteenweg,315,B-1800,VILVOORDE,BE
1211075,Efka Holding,De Meerpaal,10,9206AJ,DRACHTEN,NL
1211076,Renson Ventilation NV,Maalbeekstraat,6,B-8790,WAREGEM,BE
1211077,FIBU Aanemersbedrijf VOF,Kantsingel,16G,5349AJ,OSS,NL
1211078,Dutch Innovation Systems BV,Bergen,12,2993LR,BARENDRECHT,NL
1211079,Metalura BV,Staalindustrieweg,40,2952AT,ALBLASSERDAM,NL
121108,J van der Schans Machine Onderhoud,Vierlinghstraat,12 F,4251LC,WERKENDAM,NL
1211080,Reco FlightCases,Groenendal,16,5405AT,UDEN,NL
1211081,Menuiserie Sac SA,Rue du Marché Couvert,32,B-6600,BASTOGNE,BE
1211082,B&M Investeringen BV,Waterbeemd,2A,5705DN,HELMOND,NL
1211083,Nedcap Reclame,Kroonstraat,5,4879AV,ETTEN LEUR,NL
1211084,Printshopz.nl,Dieselweg,6,7591HG,DENEKAMP,NL
1211085,WAHO Werkzeug- und Maschinenhandelsgesel,Kleine Eichen,2,D-34355,Staufenberg-Luitterberg,DE
1211086,Assa Abloy Entrance Systems Productions,Pasteurstraat,2,1704RV,HEERHUGOWAARD,NL
1211087,Driessens Kunststof BV,St. Antoniusstraat,13,6097ND,PANHEEL,NL
1211088,Driessens Materiaal BV,St. Antoniusstraat,13,6097ND,PANHEEL,NL
1211089,GM Servic SIA,Stabu str,46/48,LV-1011,Riga Latvia,LV
121109,Future Pack,Industrieweg,93,3044AS,ROTTERDAM,NL
1211090,XXX-Construction Care BV,Johan Enschedeweg,112,1422DR,UITHOORN,NL
1211091,Verano BV,Costerweg,2,5466AM,Veghel,NL
1211092,Renson Sunprotection Projects NV,Maalbeekstraat,6,B-8790,WAREGEM,BE
1211093,Gürsoy Montage,Nieuwland Parc,160,3351LJ,Papendrecht,NL
1211094,SDS Veranda BV,Steenweg  op Asse,200,B-1540,HERFELINGEN,BE
1211095,Wolfs Metaal BV,Loek Nelissenstraat,51,5807GT,OOSTRUM,NL
1211096,XXL De Poorter Aluminium BV,Gentstraat,58,B-8760,MEULEBEKE,BE
1211097,Soprofen Vlaanderen,Uitbreidingslaan,8,B-9160,LOKEREN,BE
1211098,Sandra Vromans Holding,Wim Rötherlaan,16,5051JS,GOIRLE,NL
1211099,"Mtmac, Lda.",Rua da Indústria,9,3105-246,Meirinhas-Pombal,PT
12111,XXX-Trel BV,Metsysstraat,10,B-1030,Brussel,BE
121110,Dilien NV,Centrum Zuid,3219,B-3530,HOUTHALEN,BE
1211100,Wij-Realiseren,Didamseweg,109H,6902PD,ZEVENAAR,NL
1211101,D'Haeveloose Bart,Houtekietstraat,4,B-8540,DEERLIJK,BE
1211102,Bovrie Keukens BV,Slachthuiskade,30,7602CV,ALMELO,NL
1211103,Oryx BV,Bloemberg,6,7924PW,VEENINGEN,NL
1211104,Vanassche Firefighting Engineering NV,Brugsesteenweg,8,B-8531,HARELBEKE,BE
